frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,right_ankle_angle,left_ankle_angle,back_angle,neck_angle,symmetry_diff,stance_width,phase,exc_type,form,accuracy,correction_needed
10,167.79293953381557,168.68389298243028,60.48951038382873,52.62107220105902,159.75169318797674,164.89059024657607,171.47668105711213,166.75378104330022,110.56281628898395,112.89629109371158,68.15886349543612,85.83927952770513,4.190932701704656,0.030949416357768583,end,pushup,good,97,None
11,174.19481587465853,174.85827266700502,60.979219311782806,55.95576089232585,166.25910748664953,168.16343890277793,177.17731052166624,173.96062198320695,112.55415446146738,117.12890933251539,65.87354986681926,81.15861921928817,3.0765380074878323,0.030253057312186037,end,pushup,good,98,None
12,175.17891480596904,177.0024866072241,62.195275261951444,58.02712012587919,165.79770290726867,167.91557233582554,178.51247088867086,175.60045107843888,112.82565923429677,117.8790865483795,66.53552003724339,82.86089328248342,3.215008698039783,0.02857598456266484,end,pushup,good,90,None
1,174.07009162798315,177.5833899813049,78.08565973566563,74.72646149997067,152.28397335377096,160.72174809587398,174.9080970050798,176.95427990766052,111.94857305438724,116.57462042723301,75.96923317015121,70.48049401439657,4.396500321309242,0.023814644694575893,start,pushup,good,96,None
2,148.58794630370926,149.23522117211115,68.37977953819075,55.444279583034266,136.42785062250584,151.52776059675347,151.47243224435093,154.6301569575325,94.98655716704054,96.5923929994538,84.1730192604694,62.9186127725865,6.6892490686801676,0.02046249977247637,start,pushup,good,96,None
3,106.00413749285663,84.76174236448317,21.395559238856883,6.492237529936773,172.80770181909077,174.32085964193692,178.7432607840792,173.67235755839906,97.09676920078174,96.18144988950215,85.21532853790994,45.21892752010366,8.729019439419893,0.01837748784360416,start,pushup,good,96,None
4,64.66621216971892,47.39289621818966,17.02637817840623,37.787329510353395,174.87879657085296,173.04496889757124,175.37430431624955,170.77218664175012,92.11877784035784,95.81429801509765,88.51642750805681,36.400782756429365,9.633146561199476,0.020054603429794624,start,pushup,good,94,None
5,76.24446144659812,71.73208686477184,1.649817811550661,19.555138654273414,158.66969444719155,175.948539280007,163.74710394174105,165.68196338632683,90.8211273377122,93.06658494059187,87.49574861526926,54.9751670473348,8.775371460965987,0.02648792304903,mid,pushup,good,92,None
6,173.60864864182594,171.4960060894594,71.75311722606503,66.6048534925921,155.38690065250026,159.74420587057284,158.22153968105894,160.71157958943468,102.43915886720652,104.58117654419536,74.95763498180938,39.58909428460174,3.2500538178553255,0.016888856389199392,mid,pushup,good,96,None
7,175.03159024385994,177.2608717458943,79.13234242825193,76.43573312455045,147.28432142922657,150.83403479177113,162.06902385109765,163.97513730748332,106.45754437980669,108.7134882502379,79.74858267682569,45.53722232106952,2.5275322990194553,0.017616156514588328,mid,pushup,good,92,None
8,175.3694383903607,177.00764879056177,78.39585130678218,76.44947299328328,146.76574270044495,150.53033286478848,159.90294326722557,164.78390136829827,106.47765309255101,109.96281833748304,79.52266299786253,43.87145036816935,3.143060444809649,0.016170752777408957,mid,pushup,good,96,None
9,174.0563353888109,176.36024618544283,77.07729563959478,74.73018209342027,148.00798363293507,152.88463086037015,160.8474430597503,166.1030845897666,107.11600460166872,110.11646462234604,78.63891875810634,42.541323372300916,3.5567546241870303,0.017585582412955336,end,pushup,good,95,None
10,174.2967098663708,176.30942801914472,78.00573995763563,74.7644135036306,146.59192111627814,152.7260307967321,159.96531980405447,165.52923972091813,107.93827191308917,111.03752429847191,78.64856344666342,41.39956793226452,4.010265317895855,0.01778718797912476,end,pushup,good,100,None
11,174.07605736600348,175.81666135025856,77.04387047308418,74.06757953863195,147.39607491336923,152.7344257507257,159.7044517245112,164.75841100837084,107.59239119972861,110.39337960323091,78.36006817022393,41.41143954708624,3.582038688685148,0.01737746422978897,end,pushup,good,94,None
12,173.452058232097,175.12760079317326,76.19327886066095,73.09714152814466,149.40911563105954,153.7549748992836,161.5159778777358,165.00427457897547,108.68762675973201,110.90695985500575,77.61929786714532,41.26584074514097,2.9650337916660106,0.018202961803501568,end,pushup,good,97,None
